number,imagecode,image
227,1,﻿20130908_550_1_Bacteriocyte_HF.lif - Image009.json
170,2, '20140224_550_1_Treatment_HF.lif - Image027.json'
162,4, '20140224_550_1_Treatment_HF.lif - Image030.json'
152,6,﻿20140224_550_1_Preadsorbed_HF.lif - Image006.json
146,3,﻿20130908_2nd only_Bacteriocyte_HF.lif - Image018.json'
126,5, '20131118_1018_1_bacteriocytes_2ndonly_HF.lif - Image002.json'
126,7, '20131102_2ndonly_bacteriocytes_HF.lif - Image005.json'
88,8, '20131102_550_1_bacteriocytes_HF.lif - Image027.json'
79,9, '20130726_1018#1_Bacteriocyte quatfication_Preadsorbed control.lif - Image021 - C=0.json'
61,10,﻿20130908_550_1_Bacteriocyte_HF.lif - Image005.json
