imagecode,image,number,counter
3,﻿20130908_2nd only_Bacteriocyte_HF.lif - Image018.json',195,Yoland
2, '20140224_550_1_Treatment_HF.lif - Image027.json',212,Yoland
4, '20140224_550_1_Treatment_HF.lif - Image030.json',185,Yoland
5, '20131118_1018_1_bacteriocytes_2ndonly_HF.lif - Image002.json',143,Yoland
9, '20130726_1018#1_Bacteriocyte quatfication_Preadsorbed control.lif - Image021 - C=0.json',87,Yoland
8, '20131102_550_1_bacteriocytes_HF.lif - Image027.json',88,Yoland
7, '20131102_2ndonly_bacteriocytes_HF.lif - Image005.json',130,Yoland
6,﻿20140224_550_1_Preadsorbed_HF.lif - Image006.json,139,Yoland
10,﻿20130908_550_1_Bacteriocyte_HF.lif - Image005.json,65,Yoland
1,﻿20130908_550_1_Bacteriocyte_HF.lif - Image009.json,274,Yoland
3,﻿20130908_2nd only_Bacteriocyte_HF.lif - Image018.json',195,Ed
2, '20140224_550_1_Treatment_HF.lif - Image027.json',212,Ed
4, '20140224_550_1_Treatment_HF.lif - Image030.json',185,Ed
5, '20131118_1018_1_bacteriocytes_2ndonly_HF.lif - Image002.json',143,Ed
9, '20130726_1018#1_Bacteriocyte quatfication_Preadsorbed control.lif - Image021 - C=0.json',87,Ed
8, '20131102_550_1_bacteriocytes_HF.lif - Image027.json',88,Ed
7, '20131102_2ndonly_bacteriocytes_HF.lif - Image005.json',130,Ed
6,﻿20140224_550_1_Preadsorbed_HF.lif - Image006.json,139,Ed
10,﻿20130908_550_1_Bacteriocyte_HF.lif - Image005.json,65,Ed
1,﻿20130908_550_1_Bacteriocyte_HF.lif - Image009.json,274,Ed
3,﻿20130908_2nd only_Bacteriocyte_HF.lif - Image018.json',195,Mum
2, '20140224_550_1_Treatment_HF.lif - Image027.json',212,Mum
4, '20140224_550_1_Treatment_HF.lif - Image030.json',185,Mum
5, '20131118_1018_1_bacteriocytes_2ndonly_HF.lif - Image002.json',143,Mum
9, '20130726_1018#1_Bacteriocyte quatfication_Preadsorbed control.lif - Image021 - C=0.json',87,Mum
8, '20131102_550_1_bacteriocytes_HF.lif - Image027.json',88,Mum
7, '20131102_2ndonly_bacteriocytes_HF.lif - Image005.json',130,Mum
6,﻿20140224_550_1_Preadsorbed_HF.lif - Image006.json,139,Mum
10,﻿20130908_550_1_Bacteriocyte_HF.lif - Image005.json,65,Mum
1,﻿20130908_550_1_Bacteriocyte_HF.lif - Image009.json,274,Mum
3,﻿20130908_2nd only_Bacteriocyte_HF.lif - Image018.json',195,Dad
2, '20140224_550_1_Treatment_HF.lif - Image027.json',212,Dad
4, '20140224_550_1_Treatment_HF.lif - Image030.json',185,Dad
5, '20131118_1018_1_bacteriocytes_2ndonly_HF.lif - Image002.json',143,Dad
9, '20130726_1018#1_Bacteriocyte quatfication_Preadsorbed control.lif - Image021 - C=0.json',87,Dad
8, '20131102_550_1_bacteriocytes_HF.lif - Image027.json',88,Dad
7, '20131102_2ndonly_bacteriocytes_HF.lif - Image005.json',130,Dad
6,﻿20140224_550_1_Preadsorbed_HF.lif - Image006.json,139,Dad
10,﻿20130908_550_1_Bacteriocyte_HF.lif - Image005.json,65,Dad
1,﻿20130908_550_1_Bacteriocyte_HF.lif - Image009.json,274,Dad
